feature,importance,pct
days_view,206,16.954732510288064
fav_item_visits,107,8.806584362139917
view_count,100,8.23045267489712
active_days,92,7.572016460905349
session_count,65,5.349794238683128
activity_trend,64,5.267489711934156
avg_evts_per_sess,63,5.185185185185185
days_since_any,58,4.77366255144033
transaction_count,56,4.609053497942387
repeat_rate,49,4.032921810699588
diversity_ratio,46,3.7860082304526745
total_events,43,3.539094650205761
days_since_purchase,38,3.1275720164609053
v2c_rate,34,2.7983539094650207
v2p_rate,33,2.7160493827160495
days_since_cart,29,2.386831275720165
txn_count,22,1.8106995884773662
uniq_items,19,1.5637860082304527
uniq_view,18,1.4814814814814816
uniq_transaction,17,1.3991769547325104
total_items,16,1.316872427983539
purchase_trend,12,0.9876543209876543
avg_items_per_txn,9,0.7407407407407408
uniq_addtocart,9,0.7407407407407408
addtocart_count,7,0.5761316872427984
cart_abandon,3,0.24691358024691357
c2p_rate,0,0.0
is_declining,0,0.0
